df_index,Age_Group_code,Age Group,Gender_code,Gender,college_code,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Age,Expected_salary,Financially constrained_coded,Financially constrained,Family_income_coded,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice,family_income
41,21.0,20 - 22,-1,f,40,sister nivedita university,b.sc / bs,statistics,85.0,geography,92.0,85.0,geography,89.0,8.0,playing instrument (specifically guitar) and drawing.,undecided,it secrtor,27.0,11.0,2,maybe,2,7 - 10 lakhs,Private Job,10.0,4,3,3,3,3,4,7 - 10 lakhs
42,21.0,20 - 22,-1,f,49,techno india university,b tech.,food technology,85.0,maths,87.0,85.0,biology,88.0,7.0,football ,food technologist,corporate/private sector,25.0,6.5,0,no,4,12 - 15 lakhs,Government Job,7.0,5,1,3,5,5,1,12 - 15 lakhs
43,19.0,18 - 20,-1,f,48,tara devi harakh chand kankaria jain college,b.sc / bs,microbiology,85.0,biology,97.0,85.0,biology,90.0,6.0,karate,professor,government/public sector,26.0,3.0,0,no,1,3 -  7  lakhs,Finance,,2,1,5,1,1,5,3 -  7  lakhs
44,21.0,20 - 22,-1,f,31,narasinha dutt college,b.sc / bs,mathematics,85.0,geography,95.0,75.0,mathematics,63.0,6.0,singing ,chartered accountant,government/public sector,24.0,6.0,1,yes,0,below 3 lakhs,Retired,1.5,4,4,2,3,1,5,below 3 lakhs
45,21.0,20 - 22,-1,f,1,acharya jagadish chandra bose college,b.sc / bs,mathematics,85.0,bengali,85.0,85.0,bengali,94.0,6.0,singing ,researcher,it secrtor,25.0,9.0,2,maybe,1,3 -  7  lakhs,Private Job,4.5,5,4,5,1,5,5,3 -  7  lakhs
46,19.0,18 - 20,-1,f,40,sister nivedita university,b.sc / bs,statistics,95.0,mathematics,95.0,85.0,mathematics,90.0,0.0,"yes , dance ",researcher,it secrtor,25.0,2.4,0,no,0,below 3 lakhs,Business,5.0,3,1,2,5,5,5,below 3 lakhs
47,19.0,18 - 20,-1,f,40,sister nivedita university,b.sc / bs,statistics,85.0,english,93.0,75.0,english,90.0,0.0,no,entrepreneurship,government/public sector,25.5,11.0,1,yes,1,3 -  7  lakhs,Government Job,7.5,3,1,1,1,2,4,3 -  7  lakhs
48,21.0,20 - 22,-1,f,24,jadavpur university,ba,english,95.0,biology,96.0,85.0,biology,93.0,7.0,"recitation, chess and drama",professor,it secrtor,25.0,18.0,0,no,4,12 - 15 lakhs,Government Job,10.0,2,3,3,3,3,4,12 - 15 lakhs
50,19.0,18 - 20,-1,f,24,jadavpur university,b.sc / bs,mathematics,85.0,mathematics,99.0,85.0,mathematics,99.0,8.0,no,banker,government/public sector,25.0,10.0,0,no,1,3 -  7  lakhs,Finance,2.0,5,5,5,1,4,5,3 -  7  lakhs
51,19.0,18 - 20,-1,f,9,dayananda sagar college of engineering,b tech.,computer science engineering,75.0,english,92.0,75.0,english,87.0,0.0,,mba,corporate/private sector,24.0,15.0,2,maybe,3,10 - 12 lakhs,Government Job,5.0,3,4,2,3,2,4,10 - 12 lakhs
53,19.0,18 - 20,-1,f,49,techno india university,bba,management,65.0,english,84.0,85.0,history,88.0,0.0,dance,human resource,corporate/private sector,25.0,4.0,0,no,3,10 - 12 lakhs,Government Job,3.5,5,4,4,1,1,1,10 - 12 lakhs
