index,Age Group,Gender,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Expected_salary,Age,Financially constrained,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice
54,20 - 22,f,techno international,b tech.,computer science engineering,75.0,geography,80.0,75.0,chemistry,85.0,6.0,dance ,software development engineer,it secrtor,5.5,0.0,maybe,10 - 12 lakhs,Business,10.0,5,3,5,5,5,1
55,18 - 20,m,institute of engineering and management,b tech.,computer science engineering,95.0,computerapplication,99.0,95.0,computerscience,99.0,9.0,"hackathons , fest managments",artificial intelligence,corporate/private sector,15.0,25.0,maybe,7 - 10 lakhs,Business,15.0,4,3,4,4,2,5
57,18 - 20,m,jis university,b tech.,computer science engineering,85.0,computer,94.0,75.0,computer,92.0,8.0,no,artificial intelligence,it secrtor,5.0,25.0,maybe,3 -  7  lakhs,Engineering,6.0,2,3,4,5,4,5
58,20 - 22,f,dr sudhir chandra sur institute of technology and sports complex,b tech.,computer science engineering,85.0,science,94.0,85.0,biology,96.0,8.0,dance.,web developer,it secrtor,5.0,24.0,maybe,3 -  7  lakhs,Government Job,4.0,1,3,4,1,1,1
59,20 - 22,m,institute of engineering and management,b tech.,computer science engineering,95.0,maths,97.0,85.0,english,91.0,9.0,,artist,corporate/private sector,,30.0,yes,7 - 10 lakhs,Government Job,,1,1,1,3,3,1
60,20 - 22,m,techno india university,b tech.,computer science engineering,95.0,mathematics,98.0,95.0,,,8.0,"dance, acting, football",actor,creative fields,,0.0,yes,7 - 10 lakhs,Government Job,6.0,5,5,2,5,5,1
61,18 - 20,m,amity university,b.sc / bs,⁠computer science - data science ,95.0,maths,95.0,85.0,maths,92.0,9.0,cricket ,data analyst,it secrtor,8.5,24.0,no,15 lakhs above,Unknown,,5,5,5,4,4,5
62,20 - 22,m,indian institutes of technology madras,b.sc / bs,⁠computer science - data science ,85.0,informationtechnology,85.0,85.0,english,84.0,7.0,,entrepreneurship,corporate/private sector,10.0,23.0,maybe,below 3 lakhs,Business,5.0,2,1,5,2,2,4
63,18 - 20,m,nshm knowledge campus,b.sc / bs,⁠computer science - data science ,85.0,mathematics,94.0,85.0,mathematics,89.0,7.0,"yes, music ",data analyst,it secrtor,4.5,25.0,maybe,3 -  7  lakhs,Business,4.5,3,3,3,4,5,5
64,18 - 20,m,techno india university,b.sc / bs,data visualization,65.0,computer,82.0,75.0,economics,85.0,7.0,no,researcher,corporate/private sector,1.0,25.0,no,3 -  7  lakhs,Government Job,1.0,3,4,3,2,2,5
