index,Age Group,Gender,College Name,Degree ,Subject,Percent_10,Favorite_Subject_10,Marks_10,Percent_12,Favorite_Subject_12,Marks_12,CGPA,co-curricular activity,profession,preffed sector,Expected_salary,Age,Financially constrained,Family_income,Parent's occupation,Spending,parents_influence,friend_influence,mentor_influence,social_expectations,social_media_influence,personal_choice
154,20 - 22,m,st xaviers college (autonomous),b.sc / bs,physics,95.0,geography,100.0,95.0,mathematics,100.0,8.0,classical music ( singing),professor,government/public sector,,30.0,maybe,3 -  7  lakhs,Other,0.5,3,2,4,4,1,5
155,20 - 22,m,scottish church college,b.sc / bs,physics,95.0,physics,88.0,85.0,physics,93.0,8.0,"music, combat sports.",researcher,academia/education,5.5,30.0,no,3 -  7  lakhs,Government Job,1.5,2,1,3,4,1,5
156,20 - 22,m,ipgmer,bpt,physiotherapy,95.0,science,97.0,95.0,physics,85.0,9.0,sports,entrepreneurship,government/public sector,20.0,28.0,no,3 -  7  lakhs,Teaching,20.0,5,1,5,1,1,5
157,18 - 20,f,sister nivedita university,ba,political science,95.0,socialscience,94.0,85.0,politicalscience,87.0,7.0,not right now ,entrepreneurship,corporate/private sector,2.0,0.0,yes,3 -  7  lakhs,Business,,4,5,5,5,5,4
158,18 - 20,f,gokhale memorial girls college,ba,political science,75.0,science ,,65.0,,,6.0,singing ,entrepreneurship,government/public sector,0.5,21.0,yes,below 3 lakhs,Business,0.5,4,1,1,1,2,3
159,20 - 22,m,jadavpur university,b tech.,printing engineering,95.0,maths,99.0,85.0,maths,98.0,8.0,"yes founder of pits ju, core member of finclub ju ",engineering,it secrtor,20.0,25.0,no,7 - 10 lakhs,Government Job,10.0,1,3,3,3,3,4
160,18 - 20,f,st xaviers university,ba,psychology,85.0,maths,82.0,85.0,psychology,94.0,7.0,fashion walk,psychologist,corporate/private sector,8.0,23.5,no,10 - 12 lakhs,Business,1.0,3,2,2,1,2,4
161,20 - 22,f,sister nivedita university,msc / ms,psychology,65.0,maths,60.0,65.0,accounts,65.0,7.0,no,chartered accountant,it secrtor,0.5,27.0,maybe,3 -  7  lakhs,Business,10.0,3,1,1,4,3,5
162,18 - 20,f,st xaviers university,ba,psychology,85.0,history,94.0,95.0,history,96.0,7.0,"dance , writing ",human resource,corporate/private sector,8.0,25.0,no,10 - 12 lakhs,Teaching,,3,1,1,2,1,5
163,20 - 22,m,surendranath college,b.sc / bs,statistics,95.0,mathematics,97.0,95.0,mathematics,97.0,6.0,some times ,researcher,government/public sector,13.5,26.0,yes,below 3 lakhs,Unknown,1.0,1,5,5,1,2,5
164,18 - 20,f,asutosh college,b.sc / bs,statistics,85.0,mathematics,98.0,85.0,mathematics,86.0,6.0,dance,chartered accountant,undecided,8.0,25.0,maybe,3 -  7  lakhs,Business,2.5,5,2,4,3,1,4
165,20 - 22,m,sister nivedita university,b.sc / bs,statistics,95.0,mathematics,98.0,95.0,mathematics,95.0,9.0,football volleyball karate,researcher,corporate/private sector,15.0,25.0,no,7 - 10 lakhs,Business,6.0,1,4,5,4,2,5
166,20 - 22,m,maulana azad college,b.sc / bs,statistics,95.0,mathematics,97.0,95.0,mathematics,99.0,8.0,,researcher,government/public sector,9.0,28.0,no,7 - 10 lakhs,Private Job,,4,4,4,4,4,4
167,20 - 22,m,surendranath college,msc / ms,statistics,75.0,mathematics,90.0,85.0,mathematics,84.0,8.0,no,undecided,government/public sector,15.0,26.0,yes,below 3 lakhs,Private Job,0.5,5,1,1,4,3,5
168,20 - 22,f,asutosh college,b.sc / bs,statistics,95.0,mathematics,100.0,95.0,mathematics,96.0,8.0,dance,statistician statistics related fields,corporate/private sector,8.5,24.0,no,10 - 12 lakhs,Business,2.0,4,1,2,1,1,5
170,20 - 22,m,vivekananda college,b.sc / bs,statistics,95.0,mathematics,88.0,85.0,mathematics,80.0,6.0,,data analyst,sports sector,4.5,30.0,no,7 - 10 lakhs,Health Sector,10.0,4,2,1,1,1,3
172,18 - 20,f,asutosh college,b.sc / bs,statistics,95.0,maths,90.0,85.0,maths,80.0,7.0,painting,data analyst,corporate/private sector,,25.0,maybe,3 -  7  lakhs,Business,,3,1,2,1,4,4
173,20 - 22,m,sister nivedita university,b.sc / bs,statistics,85.0,maths,95.0,85.0,maths,86.0,7.0,"yes , working in and ngo",data analyst,it secrtor,6.0,26.0,yes,12 - 15 lakhs,Business,15.0,1,2,5,4,5,1
174,20 - 22,f,sister nivedita university,b.sc / bs,statistics,85.0,mathematics,91.0,85.0,mathematics,85.0,6.0,dance ,data analyst,it secrtor,5.5,29.0,maybe,3 -  7  lakhs,Business,5.5,5,1,5,3,2,4
175,20 - 22,f,maulana azad college,b.sc / bs,statistics,95.0,mathematics,92.0,95.0,mathematics,97.0,7.0,art,data analyst,government/public sector,10.0,25.0,maybe,3 -  7  lakhs,Government Job,,5,1,5,1,1,5
177,20 - 22,f,surendranath college,b.sc / bs,statistics,95.0,mathematics ,,95.0,,,8.0,gaming ,data analyst,it secrtor,3.5,30.0,maybe,below 3 lakhs,Homemaker,2.5,3,3,4,4,4,5
178,20 - 22,m,maulana azad college,b.sc / bs,statistics,95.0,mathematics,95.0,95.0,statistics,95.0,9.0,recitation ,chartered accountant,government/public sector,7.5,30.0,maybe,below 3 lakhs,Business,2.0,4,4,5,2,1,4
179,20 - 22,m,sister nivedita university,b.sc / bs,statistics,85.0,marks,95.0,75.0,maths,92.0,6.0,quiz,analysts,corporate/private sector,4.5,35.0,no,3 -  7  lakhs,Private Job,2.0,4,3,2,4,5,3
180,20 - 22,f,sister nivedita university,b.sc / bs,statistics,85.0,geography,92.0,85.0,geography,89.0,8.0,playing instrument (specifically guitar) and drawing.,undecided,it secrtor,11.0,27.0,maybe,7 - 10 lakhs,Private Job,10.0,4,3,3,3,3,4
181,18 - 20,f,sister nivedita university,b.sc / bs,statistics,85.0,english,93.0,75.0,english,90.0,0.0,no,entrepreneurship,government/public sector,11.0,25.5,yes,3 -  7  lakhs,Government Job,7.5,3,1,1,1,2,4
182,20 - 22,m,ramakrishna mission residential college,b.sc / bs,statistics,85.0,mathematics,98.0,95.0,statistics,100.0,9.0,photography ,chartered accountant,corporate/private sector,15.0,28.0,yes,12 - 15 lakhs,Teaching,20.0,5,3,3,3,3,3
183,20 - 22,m,vivekananda college,b.sc / bs,statistics,95.0,history,99.0,95.0,mathematics,96.0,7.0,singing ,undecided,it secrtor,13.5,25.0,no,15 lakhs above,Finance,10.0,3,3,4,2,2,4
184,18 - 20,f,surendranath college,b.sc / bs,statistics,85.0,mathematics,97.0,95.0,english,96.0,7.0,yes,data analysis,government/public sector,12.0,25.0,maybe,3 -  7  lakhs,Private Job,1.5,5,4,5,5,5,5
185,20 - 22,m,ramakrishna mission residential college,b.sc / bs,statistics,95.0,mathematics,96.0,95.0,mathematics,95.0,10.0,playing sitar,statistician,academia/education,17.0,28.0,no,7 - 10 lakhs,Government Job,4.0,4,1,3,2,1,5
186,18 - 20,f,st xaviers college (autonomous),b.sc / bs,statistics,95.0,maths,100.0,95.0,stats,100.0,9.0,"yes, playing guitar ",researcher,it secrtor,8.0,25.0,no,12 - 15 lakhs,Business,8.0,5,3,5,3,2,4
187,18 - 20,f,sister nivedita university,b.sc / bs,statistics,95.0,mathematics,95.0,85.0,mathematics,90.0,0.0,"yes , dance ",researcher,it secrtor,2.4,25.0,no,below 3 lakhs,Business,5.0,3,1,2,5,5,5
188,18 - 20,f,sister nivedita university,b.sc / bs,statistics,85.0,mathematics,85.0,75.0,mathematics,70.0,0.0,,chartered accountant,corporate/private sector,4.0,30.0,no,3 -  7  lakhs,Private Job,4.0,5,4,5,3,3,5
189,18 - 20,f,asutosh college,b.sc / bs,statistics,85.0,lifescience,85.0,85.0,english,91.0,6.0,no,researcher,it secrtor,,24.0,yes,3 -  7  lakhs,Other,1.0,3,2,2,3,2,2
190,18 - 20,m,surendranath college,b.sc / bs,statistics,85.0,mathematics,95.0,85.0,mathematics,85.0,6.0,,consultant analyst,corporate/private sector,8.0,30.0,no,10 - 12 lakhs,Teaching,3.0,1,2,4,5,3,5
191,18 - 20,m,indian association for the cultivation of science,bsms,undecided,95.0,science,96.0,95.0,physics,86.0,0.0,badminton,cosmologist,academia/education,,30.0,no,12 - 15 lakhs,Government Job,20.0,1,1,5,1,1,5
